national_dex,pokemon,type_1,type_2,HP,Atk,Def,SpA,SpD,Spe,Total,generation
50,diglett,ground,,10,55,25,35,45,95,265,1
51,dugtrio,ground,,35,100,50,50,70,120,425,1
52,meowth,normal,,40,45,35,40,40,90,290,1
53,persian,normal,,65,70,60,65,65,115,440,1
54,psyduck,water,,50,52,48,65,50,55,320,1
55,golduck,water,,80,82,78,95,80,85,500,1
56,mankey,fighting,,40,80,35,35,45,70,305,1
57,primeape,fighting,,65,105,60,60,70,95,455,1
58,growlithe,fire,,55,70,45,70,50,60,350,1
59,arcanine,fire,,90,110,80,100,80,95,555,1
60,poliwag,water,,40,50,40,40,40,90,300,1
61,poliwhirl,water,,65,65,65,50,50,90,385,1
62,poliwrath,water,fighting,90,95,95,70,90,70,510,1
63,abra,psychic,,25,20,15,105,55,90,310,1
64,kadabra,psychic,,40,35,30,120,70,105,400,1
65,alakazam,psychic,,55,50,45,135,95,120,500,1
66,machop,fighting,,70,80,50,35,35,35,305,1
67,machoke,fighting,,80,100,70,50,60,45,405,1
68,machamp,fighting,,90,130,80,65,85,55,505,1
69,bellsprout,grass,poison,50,75,35,70,30,40,300,1
70,weepinbell,grass,poison,65,90,50,85,45,55,390,1
71,victreebel,grass,poison,80,105,65,100,70,70,490,1
72,tentacool,water,poison,40,40,35,50,100,70,335,1
73,tentacruel,water,poison,80,70,65,80,120,100,515,1
74,geodude,rock,ground,40,80,100,30,30,20,300,1
75,graveler,rock,ground,55,95,115,45,45,35,390,1
76,golem,rock,ground,80,120,130,55,65,45,495,1
77,ponyta,fire,,50,85,55,65,65,90,410,1
78,rapidash,fire,,65,100,70,80,80,105,500,1
79,slowpoke,water,psychic,90,65,65,40,40,15,315,1
80,slowbro,water,psychic,95,75,110,100,80,30,490,1
81,magnemite,electric,steel,25,35,70,95,55,45,325,1
82,magneton,electric,steel,50,60,95,120,70,70,465,1
83,farfetchd,normal,flying,52,90,55,58,62,60,377,1
84,doduo,normal,flying,35,85,45,35,35,75,310,1
85,dodrio,normal,flying,60,110,70,60,60,110,470,1
86,seel,water,,65,45,55,45,70,45,325,1
87,dewgong,water,ice,90,70,80,70,95,70,475,1
88,grimer,poison,,80,80,50,40,50,25,325,1
89,muk,poison,,105,105,75,65,100,50,500,1
90,shellder,water,,30,65,100,45,25,40,305,1
91,cloyster,water,ice,50,95,180,85,45,70,525,1
92,gastly,ghost,poison,30,35,30,100,35,80,310,1
93,haunter,ghost,poison,45,50,45,115,55,95,405,1
94,gengar,ghost,poison,60,65,60,130,75,110,500,1
95,onix,rock,ground,35,45,160,30,45,70,385,1
96,drowzee,psychic,,60,48,45,43,90,42,328,1
97,hypno,psychic,,85,73,70,73,115,67,483,1
98,krabby,water,,30,105,90,25,25,50,325,1
99,kingler,water,,55,130,115,50,50,75,475,1
100,voltorb,electric,,40,30,50,55,55,100,330,1
101,electrode,electric,,60,50,70,80,80,150,490,1
102,exeggcute,grass,psychic,60,40,80,60,45,40,325,1
103,exeggutor,grass,psychic,95,95,85,125,75,55,530,1
104,cubone,ground,,50,50,95,40,50,35,320,1
105,marowak,ground,,60,80,110,50,80,45,425,1
106,hitmonlee,fighting,,50,120,53,35,110,87,455,1
107,hitmonchan,fighting,,50,105,79,35,110,76,455,1
108,lickitung,normal,,90,55,75,60,75,30,385,1
109,koffing,poison,,40,65,95,60,45,35,340,1
110,weezing,poison,,65,90,120,85,70,60,490,1
111,rhyhorn,ground,rock,80,85,95,30,30,25,345,1
112,rhydon,ground,rock,105,130,120,45,45,40,485,1
113,chansey,normal,,250,5,5,35,105,50,450,1
114,tangela,grass,,65,55,115,100,40,60,435,1
115,kangaskhan,normal,,105,95,80,40,80,90,490,1
116,horsea,water,,30,40,70,70,25,60,295,1
117,seadra,water,,55,65,95,95,45,85,440,1
118,goldeen,water,,45,67,60,35,50,63,320,1
119,seaking,water,,80,92,65,65,80,68,450,1
120,staryu,water,,30,45,55,70,55,85,340,1
121,starmie,water,psychic,60,75,85,100,85,115,520,1
122,mr-mime,psychic,fairy,40,45,65,100,120,90,460,1
123,scyther,bug,flying,70,110,80,55,80,105,500,1
124,jynx,ice,psychic,65,50,35,115,95,95,455,1
125,electabuzz,electric,,65,83,57,95,85,105,490,1
126,magmar,fire,,65,95,57,100,85,93,495,1
127,pinsir,bug,,65,125,100,55,70,85,500,1
128,tauros,normal,,75,100,95,40,70,110,490,1
129,magikarp,water,,20,10,55,15,20,80,200,1
130,gyarados,water,flying,95,125,79,60,100,81,540,1
131,lapras,water,ice,130,85,80,85,95,60,535,1
132,ditto,normal,,48,48,48,48,48,48,288,1
133,eevee,normal,,55,55,50,45,65,55,325,1
134,vaporeon,water,,130,65,60,110,95,65,525,1
135,jolteon,electric,,65,65,60,110,95,130,525,1
136,flareon,fire,,65,130,60,95,110,65,525,1
137,porygon,normal,,65,60,70,85,75,40,395,1
138,omanyte,rock,water,35,40,100,90,55,35,355,1
139,omastar,rock,water,70,60,125,115,70,55,495,1
140,kabuto,rock,water,30,80,90,55,45,55,355,1
141,kabutops,rock,water,60,115,105,65,70,80,495,1
142,aerodactyl,rock,flying,80,105,65,60,75,130,515,1
143,snorlax,normal,,160,110,65,65,110,30,540,1
144,articuno,ice,flying,90,85,100,95,125,85,580,1
145,zapdos,electric,flying,90,90,85,125,90,100,580,1
146,moltres,fire,flying,90,100,90,125,85,90,580,1
147,dratini,dragon,,41,64,45,50,50,50,300,1
148,dragonair,dragon,,61,84,65,70,70,70,420,1
149,dragonite,dragon,flying,91,134,95,100,100,80,600,1
150,mewtwo,psychic,,106,110,90,154,90,130,680,1
151,mew,psychic,,100,100,100,100,100,100,600,1
152,chikorita,grass,,45,49,65,49,65,45,318,2
153,bayleef,grass,,60,62,80,63,80,60,405,2
154,meganium,grass,,80,82,100,83,100,80,525,2
155,cyndaquil,fire,,39,52,43,60,50,65,309,2
156,quilava,fire,,58,64,58,80,65,80,405,2
157,typhlosion,fire,,78,84,78,109,85,100,534,2
158,totodile,water,,50,65,64,44,48,43,314,2
159,croconaw,water,,65,80,80,59,63,58,405,2
160,feraligatr,water,,85,105,100,79,83,78,530,2
161,sentret,normal,,35,46,34,35,45,20,215,2
162,furret,normal,,85,76,64,45,55,90,415,2
163,hoothoot,normal,flying,60,30,30,36,56,50,262,2
164,noctowl,normal,flying,100,50,50,86,96,70,452,2
165,ledyba,bug,flying,40,20,30,40,80,55,265,2
166,ledian,bug,flying,55,35,50,55,110,85,390,2
167,spinarak,bug,poison,40,60,40,40,40,30,250,2
168,ariados,bug,poison,70,90,70,60,70,40,400,2
169,crobat,poison,flying,85,90,80,70,80,130,535,2
170,chinchou,water,electric,75,38,38,56,56,67,330,2
171,lanturn,water,electric,125,58,58,76,76,67,460,2
172,pichu,electric,,20,40,15,35,35,60,205,2
173,cleffa,fairy,,50,25,28,45,55,15,218,2
174,igglybuff,normal,fairy,90,30,15,40,20,15,210,2
175,togepi,fairy,,35,20,65,40,65,20,245,2
176,togetic,fairy,flying,55,40,85,80,105,40,405,2
177,natu,psychic,flying,40,50,45,70,45,70,320,2
178,xatu,psychic,flying,65,75,70,95,70,95,470,2
179,mareep,electric,,55,40,40,65,45,35,280,2
180,flaaffy,electric,,70,55,55,80,60,45,365,2
181,ampharos,electric,,90,75,85,115,90,55,510,2
182,bellossom,grass,,75,80,95,90,100,50,490,2
183,marill,water,fairy,70,20,50,20,50,40,250,2
184,azumarill,water,fairy,100,50,80,60,80,50,420,2
185,sudowoodo,rock,,70,100,115,30,65,30,410,2
186,politoed,water,,90,75,75,90,100,70,500,2
187,hoppip,grass,flying,35,35,40,35,55,50,250,2
188,skiploom,grass,flying,55,45,50,45,65,80,340,2
189,jumpluff,grass,flying,75,55,70,55,95,110,460,2
190,aipom,normal,,55,70,55,40,55,85,360,2
191,sunkern,grass,,30,30,30,30,30,30,180,2
192,sunflora,grass,,75,75,55,105,85,30,425,2
193,yanma,bug,flying,65,65,45,75,45,95,390,2
194,wooper,water,ground,55,45,45,25,25,15,210,2
195,quagsire,water,ground,95,85,85,65,65,35,430,2
196,espeon,psychic,,65,65,60,130,95,110,525,2
197,umbreon,dark,,95,65,110,60,130,65,525,2
198,murkrow,dark,flying,60,85,42,85,42,91,405,2
199,slowking,water,psychic,95,75,80,100,110,30,490,2
200,misdreavus,ghost,,60,60,60,85,85,85,435,2
201,unown,psychic,,48,72,48,72,48,48,336,2
202,wobbuffet,psychic,,190,33,58,33,58,33,405,2
203,girafarig,normal,psychic,70,80,65,90,65,85,455,2
204,pineco,bug,,50,65,90,35,35,15,290,2
205,forretress,bug,steel,75,90,140,60,60,40,465,2
206,dunsparce,normal,,100,70,70,65,65,45,415,2
207,gligar,ground,flying,65,75,105,35,65,85,430,2
208,steelix,steel,ground,75,85,200,55,65,30,510,2
209,snubbull,fairy,,60,80,50,40,40,30,300,2
210,granbull,fairy,,90,120,75,60,60,45,450,2
211,qwilfish,water,poison,65,95,85,55,55,85,440,2
212,scizor,bug,steel,70,130,100,55,80,65,500,2
213,shuckle,bug,rock,20,10,230,10,230,5,505,2
214,heracross,bug,fighting,80,125,75,40,95,85,500,2
215,sneasel,dark,ice,55,95,55,35,75,115,430,2
216,teddiursa,normal,,60,80,50,50,50,40,330,2
217,ursaring,normal,,90,130,75,75,75,55,500,2
218,slugma,fire,,40,40,40,70,40,20,250,2
219,magcargo,fire,rock,60,50,120,90,80,30,430,2
220,swinub,ice,ground,50,50,40,30,30,50,250,2
221,piloswine,ice,ground,100,100,80,60,60,50,450,2
222,corsola,water,rock,65,55,95,65,95,35,410,2
223,remoraid,water,,35,65,35,65,35,65,300,2
224,octillery,water,,75,105,75,105,75,45,480,2
225,delibird,ice,flying,45,55,45,65,45,75,330,2
226,mantine,water,flying,85,40,70,80,140,70,485,2
227,skarmory,steel,flying,65,80,140,40,70,70,465,2
228,houndour,dark,fire,45,60,30,80,50,65,330,2
229,houndoom,dark,fire,75,90,50,110,80,95,500,2
230,kingdra,water,dragon,75,95,95,95,95,85,540,2
231,phanpy,ground,,90,60,60,40,40,40,330,2
232,donphan,ground,,90,120,120,60,60,50,500,2
233,porygon2,normal,,85,80,90,105,95,60,515,2
234,stantler,normal,,73,95,62,85,65,85,465,2
235,smeargle,normal,,55,20,35,20,45,75,250,2
236,tyrogue,fighting,,35,35,35,35,35,35,210,2
237,hitmontop,fighting,,50,95,95,35,110,70,455,2
238,smoochum,ice,psychic,45,30,15,85,65,65,305,2
239,elekid,electric,,45,63,37,65,55,95,360,2
240,magby,fire,,45,75,37,70,55,83,365,2
241,miltank,normal,,95,80,105,40,70,100,490,2
242,blissey,normal,,255,10,10,75,135,55,540,2
243,raikou,electric,,90,85,75,115,100,115,580,2
244,entei,fire,,115,115,85,90,75,100,580,2
245,suicune,water,,100,75,115,90,115,85,580,2
246,larvitar,rock,ground,50,64,50,45,50,41,300,2
247,pupitar,rock,ground,70,84,70,65,70,51,410,2
248,tyranitar,rock,dark,100,134,110,95,100,61,600,2
249,lugia,psychic,flying,106,90,130,90,154,110,680,2
250,ho-oh,fire,flying,106,130,90,110,154,90,680,2
251,celebi,psychic,grass,100,100,100,100,100,100,600,2
252,treecko,grass,,40,45,35,65,55,70,310,3
253,grovyle,grass,,50,65,45,85,65,95,405,3
254,sceptile,grass,,70,85,65,105,85,120,530,3
255,torchic,fire,,45,60,40,70,50,45,310,3
256,combusken,fire,fighting,60,85,60,85,60,55,405,3
257,blaziken,fire,fighting,80,120,70,110,70,80,530,3
258,mudkip,water,,50,70,50,50,50,40,310,3
259,marshtomp,water,ground,70,85,70,60,70,50,405,3
260,swampert,water,ground,100,110,90,85,90,60,535,3
261,poochyena,dark,,35,55,35,30,30,35,220,3
262,mightyena,dark,,70,90,70,60,60,70,420,3
263,zigzagoon,normal,,38,30,41,30,41,60,240,3
264,linoone,normal,,78,70,61,50,61,100,420,3
265,wurmple,bug,,45,45,35,20,30,20,195,3
266,silcoon,bug,,50,35,55,25,25,15,205,3
267,beautifly,bug,flying,60,70,50,100,50,65,395,3
268,cascoon,bug,,50,35,55,25,25,15,205,3
269,dustox,bug,poison,60,50,70,50,90,65,385,3
270,lotad,water,grass,40,30,30,40,50,30,220,3
271,lombre,water,grass,60,50,50,60,70,50,340,3
272,ludicolo,water,grass,80,70,70,90,100,70,480,3
273,seedot,grass,,40,40,50,30,30,30,220,3
274,nuzleaf,grass,dark,70,70,40,60,40,60,340,3
275,shiftry,grass,dark,90,100,60,90,60,80,480,3
276,taillow,normal,flying,40,55,30,30,30,85,270,3
277,swellow,normal,flying,60,85,60,75,50,125,455,3
278,wingull,water,flying,40,30,30,55,30,85,270,3
279,pelipper,water,flying,60,50,100,95,70,65,440,3
280,ralts,psychic,fairy,28,25,25,45,35,40,198,3
281,kirlia,psychic,fairy,38,35,35,65,55,50,278,3
282,gardevoir,psychic,fairy,68,65,65,125,115,80,518,3
283,surskit,bug,water,40,30,32,50,52,65,269,3
284,masquerain,bug,flying,70,60,62,100,82,80,454,3
285,shroomish,grass,,60,40,60,40,60,35,295,3
286,breloom,grass,fighting,60,130,80,60,60,70,460,3
287,slakoth,normal,,60,60,60,35,35,30,280,3
288,vigoroth,normal,,80,80,80,55,55,90,440,3
289,slaking,normal,,150,160,100,95,65,100,670,3
290,nincada,bug,ground,31,45,90,30,30,40,266,3
291,ninjask,bug,flying,61,90,45,50,50,160,456,3
292,shedinja,bug,ghost,1,90,45,30,30,40,236,3
293,whismur,normal,,64,51,23,51,23,28,240,3
294,loudred,normal,,84,71,43,71,43,48,360,3
295,exploud,normal,,104,91,63,91,73,68,490,3
296,makuhita,fighting,,72,60,30,20,30,25,237,3
297,hariyama,fighting,,144,120,60,40,60,50,474,3
298,azurill,normal,fairy,50,20,40,20,40,20,190,3
299,nosepass,rock,,30,45,135,45,90,30,375,3
300,skitty,normal,,50,45,45,35,35,50,260,3
301,delcatty,normal,,70,65,65,55,55,90,400,3
302,sableye,dark,ghost,50,75,75,65,65,50,380,3
303,mawile,steel,fairy,50,85,85,55,55,50,380,3
304,aron,steel,rock,50,70,100,40,40,30,330,3
305,lairon,steel,rock,60,90,140,50,50,40,430,3
306,aggron,steel,rock,70,110,180,60,60,50,530,3
307,meditite,fighting,psychic,30,40,55,40,55,60,280,3
308,medicham,fighting,psychic,60,60,75,60,75,80,410,3
309,electrike,electric,,40,45,40,65,40,65,295,3
310,manectric,electric,,70,75,60,105,60,105,475,3
311,plusle,electric,,60,50,40,85,75,95,405,3
312,minun,electric,,60,40,50,75,85,95,405,3
313,volbeat,bug,,65,73,75,47,85,85,430,3
314,illumise,bug,,65,47,75,73,85,85,430,3
315,roselia,grass,poison,50,60,45,100,80,65,400,3
316,gulpin,poison,,70,43,53,43,53,40,302,3
317,swalot,poison,,100,73,83,73,83,55,467,3
318,carvanha,water,dark,45,90,20,65,20,65,305,3
319,sharpedo,water,dark,70,120,40,95,40,95,460,3
320,wailmer,water,,130,70,35,70,35,60,400,3
321,wailord,water,,170,90,45,90,45,60,500,3
322,numel,fire,ground,60,60,40,65,45,35,305,3
323,camerupt,fire,ground,70,100,70,105,75,40,460,3
324,torkoal,fire,,70,85,140,85,70,20,470,3
325,spoink,psychic,,60,25,35,70,80,60,330,3
326,grumpig,psychic,,80,45,65,90,110,80,470,3
327,spinda,normal,,60,60,60,60,60,60,360,3
328,trapinch,ground,,45,100,45,45,45,10,290,3
329,vibrava,ground,dragon,50,70,50,50,50,70,340,3
330,flygon,ground,dragon,80,100,80,80,80,100,520,3
331,cacnea,grass,,50,85,40,85,40,35,335,3
332,cacturne,grass,dark,70,115,60,115,60,55,475,3
333,swablu,normal,flying,45,40,60,40,75,50,310,3
334,altaria,dragon,flying,75,70,90,70,105,80,490,3
335,zangoose,normal,,73,115,60,60,60,90,458,3
336,seviper,poison,,73,100,60,100,60,65,458,3
337,lunatone,rock,psychic,90,55,65,95,85,70,460,3
338,solrock,rock,psychic,90,95,85,55,65,70,460,3
339,barboach,water,ground,50,48,43,46,41,60,288,3
340,whiscash,water,ground,110,78,73,76,71,60,468,3
341,corphish,water,,43,80,65,50,35,35,308,3
342,crawdaunt,water,dark,63,120,85,90,55,55,468,3
343,baltoy,ground,psychic,40,40,55,40,70,55,300,3
344,claydol,ground,psychic,60,70,105,70,120,75,500,3
345,lileep,rock,grass,66,41,77,61,87,23,355,3
346,cradily,rock,grass,86,81,97,81,107,43,495,3
347,anorith,rock,bug,45,95,50,40,50,75,355,3
348,armaldo,rock,bug,75,125,100,70,80,45,495,3
349,feebas,water,,20,15,20,10,55,80,200,3
350,milotic,water,,95,60,79,100,125,81,540,3
351,castform,normal,,70,70,70,70,70,70,420,3
352,kecleon,normal,,60,90,70,60,120,40,440,3
353,shuppet,ghost,,44,75,35,63,33,45,295,3
354,banette,ghost,,64,115,65,83,63,65,455,3
355,duskull,ghost,,20,40,90,30,90,25,295,3
356,dusclops,ghost,,40,70,130,60,130,25,455,3
357,tropius,grass,flying,99,68,83,72,87,51,460,3
358,chimecho,psychic,,75,50,80,95,90,65,455,3
359,absol,dark,,65,130,60,75,60,75,465,3
360,wynaut,psychic,,95,23,48,23,48,23,260,3
361,snorunt,ice,,50,50,50,50,50,50,300,3
362,glalie,ice,,80,80,80,80,80,80,480,3
363,spheal,ice,water,70,40,50,55,50,25,290,3
364,sealeo,ice,water,90,60,70,75,70,45,410,3
365,walrein,ice,water,110,80,90,95,90,65,530,3
366,clamperl,water,,35,64,85,74,55,32,345,3
367,huntail,water,,55,104,105,94,75,52,485,3
368,gorebyss,water,,55,84,105,114,75,52,485,3
369,relicanth,water,rock,100,90,130,45,65,55,485,3
370,luvdisc,water,,43,30,55,40,65,97,330,3
371,bagon,dragon,,45,75,60,40,30,50,300,3
372,shelgon,dragon,,65,95,100,60,50,50,420,3
373,salamence,dragon,flying,95,135,80,110,80,100,600,3
374,beldum,steel,psychic,40,55,80,35,60,30,300,3
375,metang,steel,psychic,60,75,100,55,80,50,420,3
376,metagross,steel,psychic,80,135,130,95,90,70,600,3
377,regirock,rock,,80,100,200,50,100,50,580,3
378,regice,ice,,80,50,100,100,200,50,580,3
379,registeel,steel,,80,75,150,75,150,50,580,3
380,latias,dragon,psychic,80,80,90,110,130,110,600,3
381,latios,dragon,psychic,80,90,80,130,110,110,600,3
382,kyogre,water,,100,100,90,150,140,90,670,3
383,groudon,ground,,100,150,140,100,90,90,670,3
384,rayquaza,dragon,flying,105,150,90,150,90,95,680,3
385,jirachi,steel,psychic,100,100,100,100,100,100,600,3
386,deoxys-normal,psychic,,50,150,50,150,50,150,600,3
387,turtwig,grass,,55,68,64,45,55,31,318,4
388,grotle,grass,,75,89,85,55,65,36,405,4
389,torterra,grass,ground,95,109,105,75,85,56,525,4
390,chimchar,fire,,44,58,44,58,44,61,309,4
391,monferno,fire,fighting,64,78,52,78,52,81,405,4
392,infernape,fire,fighting,76,104,71,104,71,108,534,4
393,piplup,water,,53,51,53,61,56,40,314,4
394,prinplup,water,,64,66,68,81,76,50,405,4
395,empoleon,water,steel,84,86,88,111,101,60,530,4
396,starly,normal,flying,40,55,30,30,30,60,245,4
397,staravia,normal,flying,55,75,50,40,40,80,340,4
398,staraptor,normal,flying,85,120,70,50,60,100,485,4
399,bidoof,normal,,59,45,40,35,40,31,250,4
400,bibarel,normal,water,79,85,60,55,60,71,410,4
401,kricketot,bug,,37,25,41,25,41,25,194,4
402,kricketune,bug,,77,85,51,55,51,65,384,4
403,shinx,electric,,45,65,34,40,34,45,263,4
404,luxio,electric,,60,85,49,60,49,60,363,4
405,luxray,electric,,80,120,79,95,79,70,523,4
406,budew,grass,poison,40,30,35,50,70,55,280,4
407,roserade,grass,poison,60,70,65,125,105,90,515,4
408,cranidos,rock,,67,125,40,30,30,58,350,4
409,rampardos,rock,,97,165,60,65,50,58,495,4
410,shieldon,rock,steel,30,42,118,42,88,30,350,4
411,bastiodon,rock,steel,60,52,168,47,138,30,495,4
412,burmy,bug,,40,29,45,29,45,36,224,4
413,wormadam-plant,bug,grass,60,59,85,79,105,36,424,4
414,mothim,bug,flying,70,94,50,94,50,66,424,4
415,combee,bug,flying,30,30,42,30,42,70,244,4
416,vespiquen,bug,flying,70,80,102,80,102,40,474,4
417,pachirisu,electric,,60,45,70,45,90,95,405,4
418,buizel,water,,55,65,35,60,30,85,330,4
419,floatzel,water,,85,105,55,85,50,115,495,4
420,cherubi,grass,,45,35,45,62,53,35,275,4
421,cherrim,grass,,70,60,70,87,78,85,450,4
422,shellos,water,,76,48,48,57,62,34,325,4
423,gastrodon,water,ground,111,83,68,92,82,39,475,4
424,ambipom,normal,,75,100,66,60,66,115,482,4
425,drifloon,ghost,flying,90,50,34,60,44,70,348,4
426,drifblim,ghost,flying,150,80,44,90,54,80,498,4
427,buneary,normal,,55,66,44,44,56,85,350,4
428,lopunny,normal,,65,76,84,54,96,105,480,4
429,mismagius,ghost,,60,60,60,105,105,105,495,4
430,honchkrow,dark,flying,100,125,52,105,52,71,505,4
431,glameow,normal,,49,55,42,42,37,85,310,4
432,purugly,normal,,71,82,64,64,59,112,452,4
433,chingling,psychic,,45,30,50,65,50,45,285,4
434,stunky,poison,dark,63,63,47,41,41,74,329,4
435,skuntank,poison,dark,103,93,67,71,61,84,479,4
436,bronzor,steel,psychic,57,24,86,24,86,23,300,4
437,bronzong,steel,psychic,67,89,116,79,116,33,500,4
438,bonsly,rock,,50,80,95,10,45,10,290,4
439,mime-jr,psychic,fairy,20,25,45,70,90,60,310,4
440,happiny,normal,,100,5,5,15,65,30,220,4
441,chatot,normal,flying,76,65,45,92,42,91,411,4
442,spiritomb,ghost,dark,50,92,108,92,108,35,485,4
443,gible,dragon,ground,58,70,45,40,45,42,300,4
444,gabite,dragon,ground,68,90,65,50,55,82,410,4
445,garchomp,dragon,ground,108,130,95,80,85,102,600,4
446,munchlax,normal,,135,85,40,40,85,5,390,4
447,riolu,fighting,,40,70,40,35,40,60,285,4
448,lucario,fighting,steel,70,110,70,115,70,90,525,4
449,hippopotas,ground,,68,72,78,38,42,32,330,4
450,hippowdon,ground,,108,112,118,68,72,47,525,4
451,skorupi,poison,bug,40,50,90,30,55,65,330,4
452,drapion,poison,dark,70,90,110,60,75,95,500,4
453,croagunk,poison,fighting,48,61,40,61,40,50,300,4
454,toxicroak,poison,fighting,83,106,65,86,65,85,490,4
455,carnivine,grass,,74,100,72,90,72,46,454,4
456,finneon,water,,49,49,56,49,61,66,330,4
457,lumineon,water,,69,69,76,69,86,91,460,4
458,mantyke,water,flying,45,20,50,60,120,50,345,4
459,snover,grass,ice,60,62,50,62,60,40,334,4
460,abomasnow,grass,ice,90,92,75,92,85,60,494,4
461,weavile,dark,ice,70,120,65,45,85,125,510,4
462,magnezone,electric,steel,70,70,115,130,90,60,535,4
463,lickilicky,normal,,110,85,95,80,95,50,515,4
464,rhyperior,ground,rock,115,140,130,55,55,40,535,4
465,tangrowth,grass,,100,100,125,110,50,50,535,4
466,electivire,electric,,75,123,67,95,85,95,540,4
467,magmortar,fire,,75,95,67,125,95,83,540,4
468,togekiss,fairy,flying,85,50,95,120,115,80,545,4
469,yanmega,bug,flying,86,76,86,116,56,95,515,4
470,leafeon,grass,,65,110,130,60,65,95,525,4
471,glaceon,ice,,65,60,110,130,95,65,525,4
472,gliscor,ground,flying,75,95,125,45,75,95,510,4
473,mamoswine,ice,ground,110,130,80,70,60,80,530,4
474,porygon-z,normal,,85,80,70,135,75,90,535,4
475,gallade,psychic,fighting,68,125,65,65,115,80,518,4
476,probopass,rock,steel,60,55,145,75,150,40,525,4
477,dusknoir,ghost,,45,100,135,65,135,45,525,4
478,froslass,ice,ghost,70,80,70,80,70,110,480,4
479,rotom,electric,ghost,50,50,77,95,77,91,440,4
480,uxie,psychic,,75,75,130,75,130,95,580,4
481,mesprit,psychic,,80,105,105,105,105,80,580,4
482,azelf,psychic,,75,125,70,125,70,115,580,4
483,dialga,steel,dragon,100,120,120,150,100,90,680,4
484,palkia,water,dragon,90,120,100,150,120,100,680,4
485,heatran,fire,steel,91,90,106,130,106,77,600,4
486,regigigas,normal,,110,160,110,80,110,100,670,4
487,giratina-altered,ghost,dragon,150,100,120,100,120,90,680,4
488,cresselia,psychic,,120,70,110,75,120,85,580,4
489,phione,water,,80,80,80,80,80,80,480,4
490,manaphy,water,,100,100,100,100,100,100,600,4
491,darkrai,dark,,70,90,90,135,90,125,600,4
492,shaymin-land,grass,,100,100,100,100,100,100,600,4
493,arceus,normal,,120,120,120,120,120,120,720,4
